Client id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Ease of Online booking,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,satisfaction
29,Male,Loyal Customer,22,Personal Travel,Eco,2342,3,3,3,3,1,3,2,4,3,4,2,3,neutral or dissatisfied
100,Female,Loyal Customer,16,Personal Travel,Eco,332,2,2,3,2,4,3,5,4,5,4,4,3,neutral or dissatisfied
124,Male,Loyal Customer,62,Personal Travel,Eco,2521,4,4,4,1,1,5,3,5,4,1,4,1,neutral or dissatisfied
351,Female,Loyal Customer,34,Business travel,Business,1825,2,2,3,3,5,5,5,4,5,3,5,3,satisfied
416,Female,Loyal Customer,55,Business travel,Business,918,1,2,5,2,2,1,1,1,1,1,1,4,neutral or dissatisfied
501,Male,Loyal Customer,43,Business travel,Business,3677,4,4,4,4,4,4,4,4,4,4,4,5,satisfied
534,Female,Loyal Customer,64,Business travel,Business,3239,3,3,3,5,4,4,4,5,4,3,4,3,satisfied
637,Female,disloyal Customer,41,Business travel,Business,369,4,4,3,4,3,3,2,5,5,5,1,3,satisfied
770,Female,disloyal Customer,25,Business travel,Eco,1444,3,3,4,3,4,4,1,4,4,4,4,4,neutral or dissatisfied
789,Female,Loyal Customer,24,Personal Travel,Eco,605,2,2,2,2,5,2,5,4,5,3,5,2,neutral or dissatisfied
923,Male,Loyal Customer,45,Business travel,Eco,170,4,5,4,4,4,4,3,1,3,3,4,4,satisfied
950,Male,Loyal Customer,38,Business travel,Eco,308,2,3,2,2,2,2,2,3,2,3,2,2,neutral or dissatisfied
1432,Male,Loyal Customer,24,Personal Travel,Eco,1947,5,5,1,5,1,1,5,4,4,3,5,1,satisfied
1435,Male,Loyal Customer,37,Business travel,Eco,258,2,1,2,2,2,2,1,5,2,5,4,2,satisfied
1690,Male,Loyal Customer,23,Business travel,Business,489,1,5,1,1,1,1,2,1,2,2,3,1,neutral or dissatisfied
1706,Female,disloyal Customer,22,Business travel,Eco,320,4,4,5,4,5,5,4,2,4,4,3,5,satisfied
1723,Female,Loyal Customer,40,Personal Travel,Eco,1514,4,4,1,4,3,1,3,4,3,4,5,1,neutral or dissatisfied
1878,Female,disloyal Customer,30,Business travel,Eco,933,3,3,3,3,4,3,5,5,3,5,1,3,neutral or dissatisfied
1920,Female,disloyal Customer,42,Business travel,Business,431,3,3,3,3,3,3,5,2,4,5,5,3,neutral or dissatisfied
2059,Male,Loyal Customer,28,Personal Travel,Eco,140,2,2,5,2,5,5,3,5,3,1,4,5,neutral or dissatisfied
2157,Female,disloyal Customer,27,Business travel,Eco,272,2,2,3,2,4,3,1,2,1,4,3,3,neutral or dissatisfied
2175,Male,Loyal Customer,50,Business travel,Business,2475,5,5,2,3,5,4,4,4,4,5,4,4,satisfied
2477,Female,disloyal Customer,18,Business travel,Business,733,0,0,0,4,4,3,2,5,5,4,3,4,satisfied
3018,Female,Loyal Customer,80,Business travel,Business,3502,2,5,1,3,4,2,2,2,2,1,2,3,neutral or dissatisfied
3025,Male,Loyal Customer,67,Personal Travel,Eco,965,4,4,3,4,3,3,4,4,4,3,4,3,satisfied
3232,Male,Loyal Customer,27,Personal Travel,Eco Plus,2075,3,3,1,3,1,1,2,4,3,5,4,1,neutral or dissatisfied
3368,Female,disloyal Customer,56,Business travel,Eco,213,3,2,4,2,4,4,3,3,1,3,3,4,neutral or dissatisfied
3457,Female,disloyal Customer,43,Business travel,Business,296,4,4,2,4,2,2,1,5,3,1,3,2,neutral or dissatisfied
3707,Female,Loyal Customer,55,Personal Travel,Eco,687,2,1,2,4,4,4,4,1,4,3,4,3,neutral or dissatisfied
3762,Male,Loyal Customer,24,Business travel,Business,1750,3,3,5,4,5,5,3,4,3,5,5,5,satisfied
3816,Female,Loyal Customer,27,Business travel,Business,695,1,4,1,1,1,1,2,5,2,1,3,1,neutral or dissatisfied
3896,Female,Loyal Customer,52,Business travel,Business,2960,4,4,5,5,5,5,5,5,5,4,5,4,satisfied
3915,Female,Loyal Customer,42,Business travel,Business,951,4,4,5,4,4,5,5,5,5,3,5,4,satisfied
4087,Male,Loyal Customer,75,Business travel,Eco Plus,797,4,1,4,4,4,4,2,3,3,3,4,4,neutral or dissatisfied
4175,Female,Loyal Customer,41,Business travel,Business,2288,1,1,5,5,4,2,2,2,2,4,2,5,satisfied
4185,Male,Loyal Customer,53,Business travel,Eco,577,1,0,4,1,2,4,4,4,2,2,2,4,neutral or dissatisfied
4392,Female,Loyal Customer,79,Business travel,Eco Plus,913,4,4,1,3,5,4,4,4,4,1,4,2,satisfied
4406,Female,Loyal Customer,29,Business travel,Business,214,1,1,5,5,3,5,1,3,5,1,4,5,satisfied
4443,Female,disloyal Customer,46,Business travel,Business,967,4,4,5,4,5,5,3,2,5,4,4,5,neutral or dissatisfied
4446,Male,Loyal Customer,18,Personal Travel,Eco,448,2,2,5,2,5,5,4,1,2,1,4,5,neutral or dissatisfied
4492,Male,Loyal Customer,44,Business travel,Eco,680,5,3,5,5,5,5,3,4,3,1,2,5,satisfied
4563,Male,Loyal Customer,44,Business travel,Business,1048,4,4,4,4,2,3,3,3,3,2,3,1,satisfied
4612,Female,disloyal Customer,37,Business travel,Business,447,5,5,1,5,1,1,4,5,4,4,5,1,satisfied
4619,Male,Loyal Customer,23,Personal Travel,Eco,1609,1,1,5,1,3,5,5,3,3,4,5,5,neutral or dissatisfied
4710,Female,disloyal Customer,36,Business travel,Business,946,4,4,2,4,2,2,4,3,4,3,4,2,neutral or dissatisfied
4835,Male,Loyal Customer,55,Business travel,Business,3295,3,3,3,5,4,3,3,4,3,5,3,4,satisfied
4865,Female,Loyal Customer,58,Business travel,Business,767,5,5,5,5,4,5,5,5,5,5,5,4,satisfied
5274,Female,Loyal Customer,26,Business travel,Business,944,4,4,4,4,4,4,5,3,5,4,5,4,satisfied
5432,Male,Loyal Customer,49,Business travel,Business,1605,2,4,2,2,4,2,2,2,2,2,2,1,neutral or dissatisfied
5505,Male,disloyal Customer,58,Business travel,Business,272,2,2,4,2,4,4,3,3,2,5,1,4,satisfied
5580,Male,Loyal Customer,40,Business travel,Business,1073,3,3,4,5,4,4,4,4,4,3,4,3,satisfied
5585,Male,Loyal Customer,15,Personal Travel,Eco,1055,3,3,2,3,2,2,4,3,4,3,5,2,neutral or dissatisfied
5800,Male,Loyal Customer,8,Personal Travel,Eco,102,0,0,3,0,3,3,4,3,1,1,1,3,satisfied
5827,Female,Loyal Customer,52,Personal Travel,Business,757,2,2,4,4,4,3,3,2,3,4,3,4,neutral or dissatisfied
5850,Female,disloyal Customer,25,Business travel,Business,372,1,0,5,0,5,5,5,3,5,5,5,5,neutral or dissatisfied
6180,Male,disloyal Customer,29,Business travel,Business,929,3,2,4,2,4,4,5,2,4,4,4,4,neutral or dissatisfied
6266,Female,Loyal Customer,56,Personal Travel,Eco,472,3,3,3,4,4,4,4,3,4,3,4,4,neutral or dissatisfied
6326,Female,Loyal Customer,50,Business travel,Business,515,5,1,4,4,4,2,2,2,2,4,2,4,satisfied
6463,Male,Loyal Customer,36,Business travel,Business,332,0,0,2,2,1,2,2,2,2,3,2,5,satisfied
6492,Male,Loyal Customer,16,Business travel,Eco Plus,307,2,2,2,2,2,2,4,2,4,3,3,2,neutral or dissatisfied
6521,Female,Loyal Customer,22,Personal Travel,Business,209,2,2,1,2,3,1,3,3,2,4,2,1,neutral or dissatisfied
6548,Female,Loyal Customer,18,Business travel,Business,1670,3,3,5,5,5,5,4,5,4,1,3,5,satisfied
6712,Female,disloyal Customer,32,Business travel,Eco,927,2,2,1,2,1,1,4,1,3,2,4,1,neutral or dissatisfied
6950,Female,Loyal Customer,34,Business travel,Business,695,5,5,2,5,3,3,3,4,3,2,3,4,satisfied
7032,Female,Loyal Customer,30,Personal Travel,Business,762,4,4,5,4,4,5,3,4,4,3,4,5,neutral or dissatisfied
7121,Female,Loyal Customer,40,Business travel,Eco Plus,2075,3,5,3,3,3,3,2,4,3,1,4,3,neutral or dissatisfied
7182,Male,Loyal Customer,11,Personal Travel,Eco,479,2,1,4,1,1,4,3,3,3,5,1,4,neutral or dissatisfied
7235,Male,Loyal Customer,30,Business travel,Business,3462,4,4,4,4,4,4,5,4,4,5,4,4,satisfied
7289,Male,Loyal Customer,33,Business travel,Eco,214,1,4,1,1,1,1,4,5,3,4,3,1,neutral or dissatisfied
